Alex Throws,Dan Gets Mad,Matthew Complains About Something,Karlos is Toxic,Mello Locks Something Other than Lucio,Zyn Pops off,Someone in party get POTG
Someone Says Diff,Thrower talks stats,1v5 Connoisseur,BM
Solo Ult,Ult After Fight is Lost,Ult After Fight is Won,Shitty POTG,Ult Domino,Holds Onto Ult for long time,Ult gets Cancled
Squishy Leads the Charge,Leaver,Engages on half/low hp and dies,trickeling in,Tank too pasive, tank too agressive,Negative KDA
A Tank Explodes,Letter Number,Overtime Clutch,Ajax
Tracer + Doom,Lucio + Moira,Phara + Mercy,Insta Lock Doom,Insta Lock Mercy
